iter	Accuracy	MultiClass
0	0.64	1.090003674
1	0.75	1.079972139
2	0.81	1.070432954
3	0.89	1.061235108
4	0.92	1.051787458
5	0.93	1.044494266
6	0.94	1.036501036
7	0.94	1.026435861
8	0.96	1.019619386
9	0.96	1.011155834
10	0.96	1.00278658
11	0.96	0.9953718659
12	0.98	0.9855867708
13	0.99	0.9779226727
14	1	0.9699873078
15	0.99	0.9627011948
16	0.99	0.9526862051
17	0.99	0.9449205499
18	1	0.9394007024
19	1	0.9330971579
20	1	0.9281567727
21	1	0.9207170717
22	1	0.9146440058
23	1	0.9076995534
24	1	0.9012928644
25	1	0.8960827565
26	1	0.8902032627
27	1	0.8834942988
28	1	0.8753552049
29	1	0.867531671
30	1	0.8613640093
31	1	0.8542414118
32	1	0.8483267116
33	1	0.842280027
34	1	0.8357630653
35	1	0.8283854066
36	1	0.823268789
37	1	0.8190565285
38	1	0.8152367525
39	1	0.8096981147
40	1	0.8044105069
41	1	0.7984509423
42	1	0.792814384
43	1	0.7871002651
44	1	0.7803502023
45	1	0.7768392803
46	1	0.7713878171
47	1	0.7661252587
48	1	0.7615008637
49	1	0.757030816
50	1	0.7527507454
51	1	0.7474872754
52	1	0.741869468
53	1	0.7361104621
54	1	0.7309967959
55	1	0.7254851619
56	1	0.7203936924
57	1	0.7155898097
58	1	0.7108296253
59	1	0.7062985634
60	1	0.7018984209
61	1	0.697949008
62	1	0.6924699409
63	1	0.686743593
64	1	0.6830634763
65	1	0.6788016617
66	1	0.6745160711
67	1	0.6698749903
68	1	0.6667871338
69	1	0.6625404241
70	1	0.6576314715
71	1	0.6538119126
72	1	0.6494432169
73	1	0.6438492623
74	1	0.6381833381
75	1	0.6349281161
76	1	0.6308867204
77	1	0.6269277137
78	1	0.6222142727
79	1	0.6187332266
80	1	0.6149845135
81	1	0.6118717783
82	1	0.6080594639
83	1	0.6025827352
84	1	0.5974221318
85	1	0.5920644047
86	1	0.5883202281
87	1	0.5837629219
88	1	0.5807338206
89	1	0.5759577534
90	1	0.5711740954
91	1	0.5668950129
92	1	0.5628352453
93	1	0.5593915226
94	1	0.5550737343
95	1	0.551172503
96	1	0.5467017925
97	1	0.5420852736
98	1	0.539563599
99	1	0.5361779627
100	1	0.5326137105
101	1	0.52851992
102	1	0.5246041731
103	1	0.5220582576
104	1	0.5188908631
105	1	0.5150537098
106	1	0.5120930604
107	1	0.5085327636
108	1	0.5044777241
109	1	0.5009620302
